"","rmeans_nexpr","rmeans_texpr","gene"
"200808_s_at",440.140430232558,445.292958139535,"ZYX"
"200809_x_at",5430.80930232558,5651.36627906977,"RPL12"
"200810_s_at",2333.85774418605,1916.92941860465,"CIRBP"
"200811_at",3327.62162790698,2729.84627906977,"CIRBP"
"200812_at",974.878046511628,1167.21904651163,"CCT7"
"200813_s_at",517.606155813953,576.993851162791,"PAFAH1B1"
"200814_at",415.170674418605,477.036211627907,"PSME1"
"200815_s_at",1228.25976744186,1241.59960465116,"PAFAH1B1"
"200816_s_at",650.975944186046,481.664737209302,"PAFAH1B1"
"200817_x_at",5953.09093023256,6688.26186046512,"RPS10"
"200818_at",1489.8533255814,1317.61275581395,"ATP5O"
"200819_s_at",5021.53325581395,5345.45279069767,"RPS15"
"200820_at",281.806451162791,258.929876744186,"PSMD8"
"200821_at",407.361988372093,707.075309302326,"LAMP2"
"200822_x_at",1299.7431627907,1509.87113953488,"TPI1"
"200823_x_at",1258.90790697674,1399.17018604651,"RPL29"
"200824_at",1239.9881627907,1020.13206976744,"GSTP1"
"200825_s_at",755.124813953488,754.228906976744,"HYOU1"
"200826_at",1102.52151162791,1256.53090697674,"SNRPD2"
"200827_at",582.655674418605,591.040327906977,"PLOD1"
"200828_s_at",1596.21923255814,1565.83174418605,"ZNF207"
"200829_x_at",2601.45406976744,2523.82930232558,"ZNF207"
"200830_at",999.895976744186,1090.656,"PSMD2"
"200831_s_at",458.988558139535,307.081862790698,"SCD"
"200832_s_at",3430.10286046512,2224.22915813953,"SCD"
"200833_s_at",3370.14962790698,3387.47906976744,"RAP1B"
"200834_s_at",5138.8011627907,5967.02534883721,"RPS21"
"200835_s_at",157.172018604651,169.993746511628,"MAP4"
"200836_s_at",635.207093023256,549.711581395349,"MAP4"
"200837_at",1394.27741860465,1225.43290697674,"BCAP31"
"200838_at",1586.70186046512,1568.5606744186,"CTSB"
"200839_s_at",1641.50088372093,1593.67079069767,"CTSB"
"200840_at",2808.07893023256,2816.13581395349,"KARS"
"200841_s_at",363.981837209302,449.262481395349,"EPRS"
"200842_s_at",603.10336744186,662.557395348837,"EPRS"
"200843_s_at",960.755030232558,1508.3983255814,"EPRS"
"200844_s_at",541.327348837209,265.061511627907,"PRDX6"
"200845_s_at",3835.74604651163,2658.64,"PRDX6"
"200846_s_at",108.387734883721,182.261569767442,"PPP1CA"
"200847_s_at",2088.35355813953,2209.28497674419,"SARAF"
"200848_at",648.247069767442,548.145,"AHCYL1"
"200849_s_at",543.220325581395,414.537713953488,"AHCYL1"
"200850_s_at",2248.22186046512,1966.07069767442,"AHCYL1"
"200851_s_at",950.759744186047,1331.2221627907,"IST1"
"200852_x_at",356.899325581395,352.233990697674,"GNB2"
"200853_at",1412.20079069767,1924.48904651163,"H2AFZ"
"200854_at",634.600511627907,760.457209302326,"NCOR1"
"200855_at",1076.99872093023,930.608813953488,"NCOR1"
"200856_x_at",1315.05760465116,1132.03613953488,"NCOR1"
"200857_s_at",1091.95437209302,1000.08344186047,"NCOR1"
"200858_s_at",2732.30446511628,3164.95465116279,"RPS8 /// SNORD38B /// SNORD55"
"200859_x_at",991.515209302326,831.503604651163,"FLNA"
"200860_s_at",2266.38186046512,2215.35325581395,"CNOT1"
"200861_at",2125.59323255814,1911.63360465116,"CNOT1"
"200862_at",1118.07476744186,1681.88802325581,"DHCR24"
"200863_s_at",1980.99774418605,2486.02190697674,"RAB11A"
"200864_s_at",700.936534883721,783.822325581395,"RAB11A"
"200865_at",151.39546744186,115.498153488372,"EIF3F"
"200866_s_at",704.812558139535,618.640904651163,"PSAP"
"200867_at",137.238597674419,191.546637209302,"RNF114"
"200868_s_at",537.050481395349,552.145781395349,"RNF114"
